PROGRAMA_ID;SNIES;PLAN_ESTUDIOS;PROGRAMA_ACADEMICO;FACULTAD;PERSONA_ID_FK
77;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;77
78;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;78
79;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;79
80;106240;6810;TECNOLOGÍA EN GESTIÓN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;80
81;101952;6211;TECNOLOGÍA EN GESTIÓN AEROPORTUARIA;FACULTAD DE ADMINISTRACIÓN;81
82;5243;8610;INGENIERÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;82
83;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;83
84;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;84
85;5243;8610;INGENIERÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;85
86;110967;7710;TECNOLOGÍA EN SEGURIDAD E HIGIENE OCUPACIONAL;FACULTAD DE INGENIERÍA;86
87;111331;7910;TECNOLOGÍA EN PRODUCCIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;87
88;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;88
89;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;89
90;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;90
91;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;91
92;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;92
93;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;93
94;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;94
95;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;95
96;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;96
97;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;97
98;105388;112;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;98
99;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;99
100;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;100
101;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;101
102;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;102
103;111331;7910;TECNOLOGÍA EN PRODUCCIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;103
104;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;104
105;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;105
106;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;106
107;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;107
108;2541;9109;INGENIERÍA EN INSTRUMENTACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;108
109;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;109
110;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;110
111;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;111
112;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;112
113;3347;8310;INGENIERÍA EN HIGIENE Y SEGURIDAD OCUPACIONAL;FACULTAD DE INGENIERÍA;113
114;1751;113;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;114
115;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;115
116;4206;9710;ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS;FACULTAD DE CIENCIAS AGRARIAS;116
117;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;117
118;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;118
119;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;119
120;5243;8610;INGENIERÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;120
121;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;121
122;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;122
123;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;123
124;4206;9710;ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS;FACULTAD DE CIENCIAS AGRARIAS;124
125;110967;7710;TECNOLOGÍA EN SEGURIDAD E HIGIENE OCUPACIONAL;FACULTAD DE INGENIERÍA;125
126;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;126
127;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;127
128;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;128
129;1752;410;TECNOLOGÍA EN INSTRUMENTACIÓN INDUSTRIAL;FACULTAD DE INGENIERÍA;129
130;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;130
131;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;131
132;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;132
133;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;133
134;108246;6910;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;FACULTAD DE INGENIERÍA;134
135;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;135
136;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;136
137;111348;6610;TECNOLOGÍA EN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;137
138;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;138
139;103065;6610;TECNOLOGÍA EN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;139
140;109436;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;140
141;109436;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;141
142;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;142
143;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;143
144;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;144
145;107648;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;145
146;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;146
147;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;147
148;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;148
149;4206;9710;ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS;FACULTAD DE CIENCIAS AGRARIAS;149
150;54149;2511;TÉCNICA PROFESIONAL EN MASOTERAPIA;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;150
151;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;151
152;106240;6810;TECNOLOGÍA EN GESTIÓN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;152
153;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;153
154;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;154
155;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;155
156;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;156
157;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;157
158;103065;6610;TECNOLOGÍA EN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;158
159;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;159
160;1751;111;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;160
161;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;161
162;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;162
163;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;163
164;103065;6610;TECNOLOGÍA EN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;164
165;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;165
166;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;166
167;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;167
168;4206;9710;ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS;FACULTAD DE CIENCIAS AGRARIAS;168
169;111331;7910;TECNOLOGÍA EN PRODUCCIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;169
170;110967;1110;TECNOLOGÍA EN SEGURIDAD E HIGIENE OCUPACIONAL;FACULTAD DE INGENIERÍA;170
171;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;171
172;111348;6610;TECNOLOGÍA EN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;172
173;103880;6710;TECNOLOGÍA EN GESTIÓN DE EMPRESAS Y DESTINOS TURÍSTICOS;FACULTAD DE ADMINISTRACIÓN;173
174;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;174
175;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;175
176;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;176
177;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;177
178;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;178
179;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;179
180;3347;8310;INGENIERÍA EN HIGIENE Y SEGURIDAD OCUPACIONAL;FACULTAD DE INGENIERÍA;180
181;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;181
182;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;182
183;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;183
184;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;184
185;111331;7910;TECNOLOGÍA EN PRODUCCIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;185
186;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;186
187;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;187
188;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;188
189;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;189
190;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;190
191;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;191
192;110967;7710;TECNOLOGÍA EN SEGURIDAD E HIGIENE OCUPACIONAL;FACULTAD DE INGENIERÍA;192
193;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;193
194;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;194
195;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;195
196;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;196
197;5243;8610;INGENIERÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;197
198;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;198
199;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;199
200;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;200
201;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;201
202;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;202
203;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;203
204;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;204
205;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;205
206;2937;9210;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;206
207;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;207
208;55167;2010;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;208
209;5243;8610;INGENIERÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;209
210;1751;113;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;210
211;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;211
212;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;212
213;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;213
214;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;214
215;2541;9109;INGENIERÍA EN INSTRUMENTACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;215
216;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;216
217;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;217
218;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;218
219;2541;9109;INGENIERÍA EN INSTRUMENTACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;219
220;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;220
221;55167;2010;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;221
222;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;222
223;108727;8409;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;223
224;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;224
225;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;225
226;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;226
227;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;227
228;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;228
229;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;229
230;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;230
231;106240;6810;TECNOLOGÍA EN GESTIÓN LOGÍSTICA INTEGRAL;FACULTAD DE ADMINISTRACIÓN;231
232;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;232
233;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;233
234;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;234
235;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;235
236;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;236
